LexToken(PACKAGE,'package',2,1)
LexToken(ID,'main',2,9)
LexToken(IMPORT,'import',4,15)
LexToken(CADENA,'"fmt"',4,22)
LexToken(VAR,'var',7,51)
LexToken(ID,'complejo',7,55)
LexToken(COMPLEX64_TYPE,'complex64',7,64)
LexToken(ASSIGN,'=',7,74)
LexToken(COMPLEX64,'4.7+6.2i',7,76)
LexToken(VAR,'var',8,85)
LexToken(ID,'arreglo',8,89)
LexToken(ASSIGN,'=',8,97)
LexToken(LBRACKET,'[',8,99)
LexToken(RBRACKET,']',8,100)
LexToken(ENTERO_TYPE,'int',8,101)
LexToken(LBRACE,'{',8,104)
LexToken(ENTERO,10,8,105)
LexToken(COMMA,',',8,107)
LexToken(ENTERO,20,8,109)
LexToken(COMMA,',',8,111)
LexToken(ENTERO,30,8,113)
LexToken(RBRACE,'}',8,115)
LexToken(VAR,'var',9,117)
LexToken(ID,'flotante',9,121)
LexToken(FLOTANTE64_TYPE,'float64',9,130)
LexToken(ASSIGN,'=',9,138)
LexToken(FLOTANTE64,8.15,9,140)
LexToken(VAR,'var',10,145)
LexToken(ID,'entero',10,149)
LexToken(ENTERO_TYPE,'int',10,156)
LexToken(ASSIGN,'=',10,160)
LexToken(ENTERO,11,10,162)
LexToken(FUNC,'func',12,166)
LexToken(ID,'main',12,171)
LexToken(LPAREN,'(',12,175)
LexToken(RPAREN,')',12,176)
LexToken(LBRACE,'{',12,178)
LexToken(IF,'if',13,184)
LexToken(ID,'entero',13,187)
LexToken(GREATER_THAN,'>',13,194)
LexToken(ENTERO,10,13,196)
LexToken(OR,'||',13,199)
LexToken(ID,'flotante',13,202)
LexToken(EQUAL,'==',13,211)
LexToken(FLOTANTE64,1.23,13,214)
LexToken(LBRACE,'{',13,219)
LexToken(VAR,'var',14,229)
LexToken(ID,'cadena',14,233)
LexToken(CADENA_TYPE,'string',14,240)
LexToken(ASSIGN,'=',14,247)
LexToken(CADENA,'"Hola Soledad"',14,249)
LexToken(FOR,'for',15,272)
LexToken(ID,'i',15,276)
LexToken(DOSPUNTOS,':',15,278)
LexToken(ASSIGN,'=',15,279)
LexToken(ENTERO,0,15,281)
LexToken(SEMICOLON,';',15,282)
LexToken(ID,'i',15,284)
LexToken(LESS_THAN,'<',15,286)
LexToken(ENTERO,2,15,288)
LexToken(SEMICOLON,';',15,289)
LexToken(ID,'i',15,291)
LexToken(PLUS,'+',15,292)
LexToken(PLUS,'+',15,293)
LexToken(LBRACE,'{',15,295)
LexToken(ID,'entero',16,309)
LexToken(PLUS,'+',16,316)
LexToken(ASSIGN,'=',16,317)
LexToken(ID,'i',16,319)
LexToken(TIMES,'*',16,321)
LexToken(ENTERO_TYPE,'int',16,323)
LexToken(LPAREN,'(',16,326)
LexToken(ID,'flotante',16,327)
LexToken(RPAREN,')',16,335)
LexToken(DIVIDE,'/',16,337)
LexToken(ENTERO,2,16,339)
LexToken(RBRACE,'}',17,349)
LexToken(IF,'if',19,360)
LexToken(ID,'flotante',19,363)
LexToken(LESS_EQUAL,'<=',19,372)
LexToken(ENTERO,5,19,375)
LexToken(LBRACE,'{',19,377)
LexToken(ID,'fmt',20,391)
LexToken(PUNTO,'.',20,394)
LexToken(ID,'Println',20,395)
LexToken(LPAREN,'(',20,402)
LexToken(ID,'cadena',20,403)
LexToken(RPAREN,')',20,409)
LexToken(RBRACE,'}',21,419)
LexToken(ELSE,'else',21,421)
LexToken(LBRACE,'{',21,426)
LexToken(ID,'fmt',22,440)
LexToken(PUNTO,'.',22,443)
LexToken(ID,'Println',22,444)
LexToken(LPAREN,'(',22,451)
LexToken(ID,'entero',22,452)
LexToken(COMMA,',',22,458)
LexToken(ID,'complejo',22,460)
LexToken(RPAREN,')',22,468)
LexToken(RBRACE,'}',23,478)
LexToken(RBRACE,'}',24,484)
LexToken(RBRACE,'}',25,486)
